"Study","Population / Platform","ML Technique (Intervention)","Comparator","Primary Outcome","Benchmark / Dataset","Metrics & Results","Study Design","Limitations"
"R-31","2D mesh NoC","Q-learning","classical deterministic (XY), adaptive/congestion-aware (DBAR, RCA, DyXY-type), and other RL-based schemes (HARAQ, QCA, RELAR) referenced qualitatively","fault tolerance / packet delivery rate + hop count (congestion-aware)","offline training on 5x5 mesh, inference-only evaluation on 5x5, 8x8, 12x12, 16x16 meshes under 0-20% fault density (uniform and non-uniform fault distributions)","At 10% fault density: delivery rates ~0.98/0.97/0.95/0.93 for 5x5/8x8/12x12/16x16; at 20% faults: ~0.95/0.90/0.83/0.78 respectively; avg hop count grows from ~2.4-8.5 (0% faults) to ~6.8-17.8 (20% faults) across mesh sizes; validated on Nexys A7 and PYNQ-Z2 FPGA boards","Mixed","Authors note state-space compaction is a deliberate trade-off (coarse quantized buckets) that may lose some decision-relevant information; performance degrades with increasing mesh size and fault density (untrained sizes via generalization only)"
"R-34","2D mesh NoC","DQN / RL","Q-learning, SARSA, DQN","latency-minimizing routing-algorithm selection (meta-routing)","synthetic uniform random traffic (injection rate 0.05-0.40), 8×8/4×4/2×2 mesh (Gem5 HeteroGarnet)","PND3QN converges in 8 episodes vs slower/oscillating QL, DQN, SARSA; consistently selects lowest-latency routing algorithm (among XY, West-First, Adaptive-North-Last, Odd-Even) across all injection rates, unlike baselines which mis-select due to Q-value overestimation","Cycle-accurate sim","Action space limited to only 4 predefined routing algorithms; authors note future work on multi-objective (latency+throughput) balance and larger action space"
"R-40","3D NoC","Q-learning","Reinforcement-learning deflection switch with global routing table (GR)","Fault tolerance / average packet latency, area-power overhead","Synthetic (uniform random, transpose, local) + Splash-2 traces (barnes, cholesky, fft, fmm, lu, radix, raytrace, water) on 4×4×4 3D mesh","Proposed switch: 40% less area, 49% less power vs GR switch; 5% lower avg latency under real app workloads with 10% link faults; only 5–6% performance degradation under synthetic workloads at 10% faults","Mixed","Not discussed by authors; assumes faulty vertical/horizontal links never disconnect layers/mesh (structural assumption)"
"R-41","2D mesh NoC","Q-learning","DyXY","average packet latency / throughput","synthetic uniform random and hotspot (H=10%)","4x4 mesh, near saturation (0.8): 28% latency reduction vs DyXY (uniform), 17% (hotspot); 12% area overhead (65nm CMOS)","Mixed","Not discussed by authors; implicit: small 4x4 network only, single comparator (DyXY)"
"R-42","2D mesh NoC","Q-learning","DBAR, C-Routing (Q-learning clustered)","average packet latency / congestion avoidance","synthetic uniform random, hotspot (H=10%) + SPLASH-2 traces (GEMS)","8x8 mesh near saturation (0.3): ~18% latency reduction vs C-Routing, ~37% vs DBAR; hotspot 8x8 (0.18): ~31% vs C-Routing, ~42% vs DBAR; SPLASH-2: up to 27% reduction (Radix) vs C-Routing, avg 22% vs C-Routing / 33% vs DBAR; max power 8-12% lower than DBAR/C-Routing; area overhead <1% vs DBAR","Mixed","Not discussed by authors; implicit: only mesh/double-Y topology tested, small Q-table scalability not evaluated beyond 32x32"
"R-44","2D mesh NoC","Hybrid","Odd-even turn model, west-first, north-last routing","Average packet latency","Synthetic traffic (uniform, transpose, tornado), 8×8 mesh (BookSim)","HOEQ shows lower latency than odd-even, west-first, and north-last across all three traffic patterns (qualitative comparison; exact percentages not reported in text)","Cycle-accurate sim","Not discussed by authors; no fault-tolerance mechanism (future work); no quantitative % improvement reported in the extracted results"
"R-45","2D mesh NoC","Q-learning","DyXY","average packet transfer latency","uniform traffic, transpose traffic (Booksim2.0, 16×16 mesh)","13.08% average latency reduction (uniform traffic); 16.82% average latency reduction (transpose traffic); router area overhead only +0.97% vs DyXY router (40nm SMIC synthesis)","Mixed","Not discussed by authors; only 2 traffic patterns tested, single network size for main comparisons besides scalability check"
"R-46","2D mesh NoC","Hybrid","Dynamic XY (DyXY) routing algorithm","Throughput, latency, power consumption (conceptual comparison)","None / self-comparison only (no simulation or dataset — conceptual/qualitative paper)","No quantitative results reported; qualitative conclusion that fuzzy and neural approaches ""provide better solution"" with lower power than XY-based HNN, but XY reported as having lowest power consumption overall","Analytical model","Explicitly discussed: future work includes analysis of these approaches in real-time domain (paper presents no empirical validation)"
"R-48","2D mesh NoC","Q-learning","C-XY, DyXY","average packet transmission latency","synthetic benchmark + industrial MWD application traffic","Synthetic: 25.6%-49.5% improvement vs C-XY, 22.9%-43.8% vs DyXY (varying speed/burst); MWD industrial pattern (4x4 NoC): 27.1%/25.6% vs C-XY, 23.4%/22.9% vs DyXY","Mixed","Not discussed by authors; implicit: small 3x3/4x4 topologies, single mapping example"
"R-50","3D NoC","Q-learning","PTB3R (proactive) and TAAR (reactive) thermal-aware routing algorithms","Thermal balancing (temperature distribution) and network performance (latency/throughput)","Synthetic traffic pattern(s) via traffic-thermal co-simulation (PATNoxim)","Q-Thermal improves network performance by average 32% vs PTB3R and TAAR; reduces standard deviation of temperature distribution by 13% (vs PTB3R) and 28% (vs TAAR); negligible average-temperature overhead (<0.2%)","Cycle-accurate sim","Not discussed by authors explicitly; hardware realization presented but overhead of Q-table/thermal analysis circuitry not quantified in the excerpted results"
"R-51","2D mesh NoC","Q-learning","Algorithm by Khichar et al. 2017 (dynamic XY-YX fault-tolerant routing)","Fault tolerance / packet delivery rate (optimal path under link and router faults)","Self-generated (synthetic) random source-destination test sets, no application traffic","Delivered 19% more packets on average under faulty links and 11% more under faulty routers vs baseline across 5x5, 10x10, 15x15 mesh sizes; number of hops in fault cases equal to fault-free case (optimal path)","Simulation","Explicitly discussed: future work needed to extend to other topologies and evaluate impact on latency, area, and power (not measured in this study)"
"R-52","2D mesh NoC","Hybrid","Dijkstra, Random, Q-learning (standalone)","load balance / traffic congestion / insertion loss (path reservation latency)","1000 random source-destination pairs on M×M mesh (4x4, 6x6, 8x8, 10x10), Cygnus router model","Dijkstra-Q shows lower variance of link usage (better load balance) than Dijkstra/Random; lower average blocking sequence and lower insertion loss (dB) than Dijkstra/Random, especially as network scale increases; faster convergence than pure Q-learning to optimal results","Simulation","Authors note reward-function weighting is an ""open question""; no absolute latency/throughput numbers reported, only relative comparisons"
"R-53","2D mesh NoC","DQN / RL","XY-routing (DoR), random-oblivious routing, adaptive west-first routing (fixed baselines)","Average NoC latency minimization via dynamic routing-algorithm selection","Uniform-random synthetic traffic (garnet2.0/gem5), injection rates 0.05–0.40","Overall latency ""slightly improves"" with RL-enabled solutions vs fixed routing algorithms across injection rates; west-first shows latency spike after 0.3 injection rate while RL-selected routing avoids it; reward converges/stabilizes after ~40 training episodes","Cycle-accurate sim","Not discussed by authors explicitly; only uniform-random traffic showed significant effects (transpose/tornado low-radix patterns showed no significant change, an implicit limitation)"
"R-54","3D NoC","Q-learning","XY, HARAQ (2D), deterministic XYZ (3D)","average latency / throughput","synthetic uniform and hotspot traffic","~8% latency/throughput improvement vs deterministic 3D XYZ routing (uniform and hotspot, 64 nodes: 8x8 2D vs 4x4x4 3D), using Noxim simulator","Cycle-accurate sim","Not discussed by authors; implicit: only 64-node network size tested, single hotspot configuration"
"R-55","2D mesh NoC","DQN / RL","DOR, Footprint","average packet latency","synthetic (uniform, bitcomp, transpose, shuffle)","14.82% average packet latency reduction, up to 34.24% under heavy synthetic traffic; RELAR does not clearly outperform Footprint in transpose/shuffle when endpoint congestion dominates","Cycle-accurate sim","Authors explicitly note ""still gaps in the proposed framework""; plan future work on parameter optimization, overhead reduction, other topologies"
"R-56","2D mesh NoC","DQN / RL","distributed Dijkstra-Q algorithm (authors' prior work)","load balance / waiting delay (congestion) / insertion loss","synthetic uniform-random, hot-spot, and transpose traffic (Poisson process), 4x4 mesh","DQN shows significantly better (lower) average blocking sequence/waiting delay than Dijkstra-Q under uniform-random and hot-spot traffic; similar insertion loss under uniform-random/hot-spot but different under transpose; Dijkstra-Q outperforms DQN in link-usage variance (load balancing)","Simulation","Authors explicitly discuss DQN requires careful neural-network/training-parameter tuning; state setting omits source/destination position, requiring many trained Q-network pairs, reducing algorithm effectiveness; DQN needs longer training time than Dijkstra-Q"
"R-58","2D mesh NoC","Q-learning","Prior RL/knowledge-base fault-tolerant routing algorithms ([7],[8],[9] in paper: Q-learning-based, DSPIN, dynamic XY-YX)","Fault tolerance / packet delivery rate and average network latency","Synthetic fault injection (link/router faults) on varying mesh sizes, System-C cycle-accurate simulator; FPGA case studies","RL-FTR delivers more packets than compared algorithms under increasing link/router fault percentages; lower avg latency than comparators up to ~25–30% fault rate (then higher, attributed to reaching longer-distance destinations)","Mixed","Two-level Q-table still requires more memory for large router counts (noted by authors); latency exceeds comparators at very high fault rates because more distant destinations are served"
"R-59","2D mesh NoC","Q-learning","CG, FG, FTDR routing algorithms","Fault-tolerant routing + congestion-aware adaptive routing (latency/throughput under faults)","Synthetic uniform and transpose traffic; PARSEC v2.1 traces via Netrace/M5","QFCAR/QFCAR-W improve saturated throughput by >5% vs FTDR at 30% fault rate (up to 112.7% normalized at 0% fault, uniform); 5.86–7.70% area overhead and 6.13–6.22% power overhead vs CG (65nm ASIC synthesis)","Mixed","Not discussed by authors; no ablation on H-Q table bit-width scaling with larger networks"
"R-60","2D mesh NoC","DQN / RL","Footprint, O1TURN/DOR (implied), DBAR","average packet latency","synthetic (uniform, hotspot, bursty) + GPCNeT HPC interconnect benchmark","14.82% and 9.86% average packet latency reduction; up to 34.24% (synthetic) and 16.82% (GPCNeT) reduction","Cycle-accurate sim","Not discussed explicitly; authors note challenges in parameter tuning/scale and feasibility of online execution as open issues"
"R-114","3D NoC","CNN","3D Odd-Even routing, DLAR routing (also DLADR in sensitivity analysis)","Throughput and energy consumption optimization via routing algorithm switching","Synthetic traffic (varied injection rate) for training; PARSEC benchmark workloads (Blackscholes, Canneal, Dedup, Vips, Streamcluster, Ferret, Fluidanimate, Bodytrack, X264, Swaptions) for validation via Gem5","NN-prediction improves average throughput by 11.95% and reduces average energy consumption by ~6.9–6.97% vs unpredicted routing under PARSEC workloads; prediction efficiency/accuracy ~98–99.97%","Simulation","Not discussed by authors; authors note future work needed to optimize WPF weighting via soft-computing and validate robustness with more routing algorithms"
"R-152","2D mesh NoC","DQN / RL","XY, West-First (deterministic), ARCA (adaptive), DRLAR, DeepNR (DRL)","Mean packet latency, throughput, energy per delivered bit","Synthetic (uniform, transpose, bit-complement, hotspot, bursty) + full PARSEC 3.0 and SPLASH-2 suites + 2 AI-inspired workloads (MLPerf Tiny, GraphBIG PageRank)","Consistent latency/throughput/energy-per-bit gains at high load and under thermal variability vs baselines; controller: <6000 params, ~12KB SRAM, <10ns inference, ~35K GE at 28nm; PPO converges faster (≈2800 episodes) with lower reward variance (≈0.9) than DQN (≈4100/3.4) and A2C (≈3700/2.7)","Cycle-accurate sim","Not framed as an explicit ""limitations"" section; single RL algorithm (PPO) evaluated in depth; offline training cost ≈24 CPU-hours per configuration, hyperparameters tuned per topology"
"R-153","Many-core chip","Hybrid","Static XY, Static Layer XY, adaptive Near-Node congestion-aware routing (NN with/without CA)","throughput / latency for mixed-criticality traffic","uniform random traffic injection (SystemVerilog testbench)","Up to 42% throughput increase and 75% latency decrease vs static XY; up to 29% throughput increase and 65% latency decrease vs adaptive congestion-aware routing; learning-phase overhead 9542 cycles for 5x5 3-layer network; router LUT 7868/FF 5801 (10-port) on Virtex-7 FPGA","Mixed","Authors note learning-time and resource overhead due to complexity/high port-count routers; tested only under uniform random traffic; future work needed for other traffic patterns"
"R-154","2D mesh NoC","DQN / RL","state-of-the-art mapping+routing co-optimization for homogeneous systems; combinations of SOTA independent mapping (communication-aware/computation-aware) and routing (contention-aware SOTA)","schedule length (application makespan)","real applications (e.g., H.264) on point-to-point ArSMART NoC-based heterogeneous computing systems, 8x8 mesh","Schedule length improvement of +44.94% to +50.18% vs SOTA homogeneous co-optimization algorithm across various real applications and heterogeneity coefficients","Simulation","Not discussed by authors in visible excerpt; implicit: energy consumption excluded from optimization objective due to modeling difficulty in heterogeneous PEs"
"R-155","2D mesh NoC","Q-learning","Q-routing, DRQ-routing, Dynamic XY-routing","Average packet latency / congestion alleviation","Synthetic traffic (uniform random, transpose, hotspot) on 4×4 mesh","Performance gain near saturation (offered load 0.5): Uniform 8.3%/5.7%/4.6%, Transpose 14.2%/5.2%/2.4%, Hotspot 18.3%/4.6%/3.5% vs DyXY/DRQ/Q-routing; router area 0.1705 mm² (65nm) vs 0.1683 (Q-routing) and 0.1503 (DyXY)","Mixed","Not discussed by authors; only 3 traffic patterns and one mesh size (4×4) tested; assumes constant link delay = 0"
"R-156","2D mesh NoC","Q-learning","Traditional Q-routing, C-routing, DBAR, Dynamic XY","Average packet latency / routing-table area overhead","Synthetic traffic (uniform) on 8×8 mesh","Up to 45% latency improvement over DyXY under uniform traffic (8×8 mesh); Q-table area reduced by factor of 4 (~75% reduction) vs conventional Q-routing","Simulation","Not discussed by authors; dynamic (runtime) clustering left as future work, static cluster size assumed"
"R-157","2D mesh NoC","Q-learning","FoN (Fault-on-Neighbor) switch, cost-based deflection switch, turn-model resilient routing","Fault tolerance / packet delivery (throughput, hop count) under link faults","Synthetic (uniform random, transpose, bit-complement, bit-reverse, shuffle, tornado) + Splash-2-mapped applications (matrix mult., FFT, wavefront) on 8×8 mesh","FTDR throughput 14% and 23% higher on average than FoN and cost-based switch resp.; FTDR-H reduces area up to 27% vs FTDR; hop count reduced 1.2×–2.8× vs cost-based; app workloads: FTDR-H avg hop count 18–25% less than FoN","Mixed","Not discussed by authors; assumes external fault-diagnosis mechanism (detection out of scope); FTDR routing-table area grows large with network size"
"R-158","2D mesh NoC","Q-learning","Q-routing (conventional) and its variants","Average packet latency / adaptation speed to congestion","Synthetic traffic, in-house C-based OCN simulator, 4×4 and 8×8 mesh","Reports ""significant performance improvement over conventional Q-routing and its variants"" with faster adaptation to traffic changes and slight area overhead (specific % not detailed in extracted text)","Simulation","Not discussed by authors; only 4×4/8×8 mesh sizes tested; PCrQ introduces extra tunable hyperparameter (variance factor k)"
"R-159","3D NoC","Hybrid","Ideal routing, LEAD, Advertiser Elevator, TAFT, Elevator First","Fault tolerance / average latency and successful delivery rate","Synthetic uniform random traffic, Garnet2.0 simulator, 3×3×3 and 4×4×4 3D mesh","Up to 9.04% lower avg latency and 8.58% higher successful delivery rate vs adv_ele/TAFT (4×4×4, 5% fault injection); K-means compresses Q-table storage by 70% with only 1.57% delivery-rate degradation","Cycle-accurate sim","Explicitly noted by authors: ""Lack of realistic applications mapped into 3D NoCs for comprehensive verification"""
"R-160","2D mesh NoC","CNN","DOR (XY), xy_yx, Adaptive (Adap)","Average packet latency / throughput","Synthetic (Transpose, Bit Reverse, Tornado) + H.264 encoder traces, 8×8 mesh (BookSim)","PreNoc outperforms DOR by 2.25×, xy_yx by 1.5×, Adaptive by 1.2× in throughput (Transpose); 8.7% better than adaptive at high injection (Bit Reverse); FPGA overhead 9.2% registers / 9.1% LUTs, no change to critical path (111.83 MHz)","Mixed","Not discussed by authors; NN training consumes ~1/3 of execution cycles; performance gap narrows for less-predictable traffic (Tornado)"
"R-161","3D NoC","Q-learning","PTB3R, PTDBA (proactive RTM); TLAR, TAAR, TTABR (reactive RTM); prior Q-learning-based routing","Throughput / thermal balance (inter-layer traffic and heat distribution)","Synthetic traffic, simulation, 8×8×4 3D mesh","Throughput improved 14.0–28.2%; 24.9% more balanced inter-layer traffic load; 30.6% more evenly distributed inter-layer thermal dissipation vs prior studies (8×8×4 mesh)","Simulation","Explicitly noted by authors: Q-table size/area overhead becomes problematic as network size increases, since decisions use information for all possible route paths"
"R-162","3D NoC","Q-learning","TAAR routing algorithm","Traffic load balancing + thermal balancing (latency, throughput, temperature distribution)","Synthetic traffic: random, shuffle, bit-reversal","TTQR outperforms TAAR by average 63.6% in latency and 41.4% in throughput; temperature difference within 0.2% (slightly higher than TAAR) but more uniform distribution across layers","Cycle-accurate sim","Not discussed by authors; only synthetic traffic patterns tested, no real application workloads"
"R-163","2D mesh NoC","Hybrid","XY, Odd-Even, West-First, North-Last routing algorithms; also compared to PSOGW-ANN, SMA-ANN, AOA-ANN, Random Forest, plain ANN","Prediction of routing algorithm choice during Design Space Exploration (regression accuracy)","NOXIM-simulated NoC-based MPSoC traffic dataset (1250 records)","GCAOA-ANN achieved R2 = 99.80%, RMSE = 0.0000135, MSE = 0.0000118, SI = 0.000077, MBE = 0.0000028, MAR = 0.000187616, outperforming PSOGW-ANN, SMA-ANN, AOA-ANN, Random Forest and plain ANN","Cycle-accurate sim","Not discussed by authors; ANN hyperparameter sensitivity and generalization to unseen routing algorithms not addressed"
"R-164","2D mesh NoC","DQN / RL","Existing Q-routing/adaptive routing approaches (implicit; conventional routing baseline)","Average packet latency reduction and throughput","Synthetic traffic and real-time (real application) traffic via Gem5","Up to 21.25% (real traffic) and 44% (synthetic traffic) reduction in overall packet latency under high traffic vs existing approaches; throughput above 90% in both scenarios","Cycle-accurate sim","Not discussed by authors explicitly; storage overhead and packet latency issues of prior Q-table methods motivated approach, but DeepNR's own training/convergence overhead not analyzed"
"R-165","2D mesh NoC","DQN / RL","Deterministic XY routing","Latency, throughput, energy efficiency (EDP), reliability (PDR), scalability","Synthetic traffic: Random, Hotspot, Bit-Complement traffic patterns","At injection load 0.7: latency reduced 29.17% (120→85 cycles), throughput improved 80% (0.25→0.45 packets/cycle); at load 0.1: latency −20% (10→8 cycles), throughput +12.5%; consistent gains across 4×4 and 8×8 mesh","Cycle-accurate sim","Explicitly discussed: training overhead causes suboptimal performance until convergence; Q-table/deep model maintenance is computationally complex; state space grows with network size, slowing learning and increasing memory use"
"R-166","2D mesh NoC","Q-learning","LORP (Length-Optimized Routing Protocol), also XY and Standard-Q (mesh RL) baselines","Average end-to-end delay and maximum throughput (with optical insertion loss trade-off)","Synthetic traffic: uniform, transpose, hotspot-point, hotspot-area","In 6×6 network: RLCAR reduces average end-to-end delay by 14.9% (uniform), 17.9% (transpose), 14.1% (hotspot-point), 13.5% (hotspot-area) vs LORP; improves max throughput by 12.4%, 0.8%, 13.7%, 12.8% respectively; increases optical insertion loss by 4.64%","Simulation","Not discussed as a dedicated limitations section; trade-off explicitly noted (slight increase in optical insertion loss as cost of latency/throughput gains)"
"R-167","2D mesh NoC","CNN","Prior-art congestion-aware/load-balancing routing algorithms (e.g., BARP, DyXY, DyAD, GCA, DBAR, DAR)","Network throughput improvement via proactive hotspot prevention (also latency, hardware overhead)","Synthetic adversarial traffic (hotspot, transpose patterns) + real application traces from TRIPS CMP (SPEC CPU2000-based benchmarks, e.g., vpr, ammp)","HPRA improves network throughput by up to 81% vs prior-art congestion-aware routing; ANN hardware overhead ~10.3% overall network overhead (reduced from 4.2% to 3.1% via PWL activation-function approximation); holistic retraining reduces false-positive hotspot predictions by 25.3–47.4% and improves prediction accuracy by ~1.8–2.2%","Mixed","Explicitly discussed: risk of ANN misclassifying post-HPRA traffic patterns as new hotspots; possibility of HPRA-induced hotspots not adequately captured in training; trade-off between over-strict vs over-relaxed hotspot pattern recognition"
"R-168","2D mesh NoC","Q-learning","XY, Odd-Even","average packet latency, power/energy","synthetic uniform, transpose, bit-reverse (Gem5 Garnet2.0, 8×8 mesh)","Uniform link latency: 7.38% and 15.19% latency reduction vs XY/Odd-Even at IR=0.95; random link latency: 5.73%/12.73% reduction, ~4.7% power improvement; transpose traffic: 19.9%/30.54% latency reduction, 3.15%/13.11% power/energy improvement; bit-reverse: 26.88%/28.58% latency reduction","Cycle-accurate sim","Not discussed by authors; only synthetic traffic tested, no real application benchmarks (noted as future work)"
"R-169","2D mesh NoC","Hybrid","SVR, ANN, DOR, XY-YX, PreNoC, Adaptive routing","latency-aware routing accuracy / average packet latency, throughput","synthetic traffic (uniform/transpose/shuffle/tornado/bit-reversal/bit-complement) + H.264 encoder application benchmark","Lower NRMSE/higher SCC than SVR/Poly/Lin across 3 datasets (e.g., Feature-1 test C2 0.83-0.90 vs SVR 0.79-0.87); lower latency than DOR, XY-YX, PreNoC, Adaptive under varying buffer depth/length (L=4,9,14; B=3,4,9) across 4×4, 8×8, 12×12 mesh sizes","Mixed","Not discussed explicitly by authors in visible text; accuracy depends on similarity between training/testing traffic patterns (noted as limitation of prior work, implicitly inherited)"
"R-172","2D mesh NoC","DQN / RL","Q-learning, static routing","fault tolerance / packet delivery ratio (PDR), latency, throughput","synthetic random/hotspot traffic + standard NoC benchmarks (MPEG, MWD, 263ENC, 263DEC, MP3ENC, VOPD)","Latency stabilizes at ~10 cycles after training (from ~60 cycles); DQN consistently achieves lower latency than Q-learning and static routing under random/hotspot traffic; higher PDR than Q-learning under faulty routers and faulty links across 5×5-8×8 mesh sizes; avg network latency 74.6-82.3 cycles across benchmarks; reduced FPGA delay and LUT utilization vs prior designs on Zynq UltraScale+ ZCU104","Mixed","Not discussed as explicit limitations section; results for 5×5-8×8 topologies only reported in detail ""for benchmarking clarity,"" broader scalability trends only briefly mentioned"
"R-173","2D mesh NoC","Q-learning","Negative-First, Odd-Even, West-First routing, traditional table-based Q-routing","thermal-aware routing / average thermal-induced optical power loss, network throughput","synthetic traffic (uniform, transpose, bit-reverse, hotspot) + real applications, 5 temperature distributions (SystemC + Hotspot + McPAT, 8×8 and 16×16 optical mesh NoC)","28.94%/36.19%/30.81% optical power loss reduction vs Negative-First/Odd-Even/West-First (center block); sacrifices only 2.03-7.01% optimization vs traditional table-based Q-routing while needing only 16 coefficients/node vs up to 345,600 table entries (16×16 mesh); faster convergence than table-based Q-routing; throughput within 0.1-3.45% of baseline networks","Cycle-accurate sim","Not discussed by authors as explicit ""limitations"" section; no thermal tuning device-level compensation used in evaluation (assumed absent), scalability advantage grows with network size"
